Product_ID,SKU,Product_Name,Brand,Supplier_ID,Category,Subcategory,Price_Segment,Unit_Cost,Unit_Price,Base_Margin_Rate,Launch_Date,Product_Status
100001,NVX-100001,Comfort Steel Wall Light,Forma Casa,2291,Bedroom,Nightstand,Entry,119.16,198.27,0.399,2023-06-20,Active
100002,NVX-100002,Classic Rattan BBQ,Forma Casa,2377,Living Room,TV Unit,Entry,370.92,583.82,0.3647,2024-06-13,Active
100003,NVX-100003,Contemporary Rattan BBQ,Atelier Home,2206,Kitchen,Dining Table,Premium,30.73,54.99,0.4412,2022-11-21,Active
100004,NVX-100004,Comfort Oak Bookcase,UrbanNest,2332,Kitchen,Kitchen Cabinet,Mid-Range,45.09,97.92,0.5395,2023-03-23,Active
100005,NVX-100005,Natural Rattan Sideboard,Forma Casa,2373,Bathroom,Mirror,Entry,40.15,74.32,0.4598,2025-05-14,Active
100006,NVX-100006,Comfort Bamboo Desk,Nordic Living,2216,Bedroom,Wardrobe,Premium,235.64,426.59,0.4476,2026-11-08,Active
100007,NVX-100007,Comfort Fabric Shelf,Oak & Stone,2249,Lighting,Pendant Light,Entry,40.6,74.35,0.4539,2020-06-23,Active
100008,NVX-100008,Nordic Fabric Chest of Drawers,Green Habitat,2361,Garden,BBQ,Premium,43.5,72.96,0.4038,2022-08-12,Active
100009,NVX-100009,Vintage Velvet Desk Lamp,Novexa Essentials,2119,Kitchen,Kitchen Island,Mid-Range,36.65,73.83,0.5036,2022-08-12,Active
100010,NVX-100010,Signature Pine Shelf,Nordic Living,2120,Home Office,Desk,Mid-Range,36.49,63.24,0.423,2021-10-02,Active
100011,NVX-100011,Natural Steel Floor Lamp,Nordic Living,2383,Lighting,Floor Lamp,Premium,99.84,233.16,0.5718,2021-01-19,Active
100012,NVX-100012,Comfort Marble BBQ,Novexa Essentials,2128,Living Room,Sofa,Entry,675.0,1170.46,0.4233,2021-09-27,Active
100013,NVX-100013,Comfort Bamboo Drawer,UrbanNest,2196,Garden,Garden Storage,Premium,63.52,137.24,0.5372,2024-10-16,Active
100014,NVX-100014,Urban Rattan Bookcase,Novexa Essentials,2136,Bedroom,Bed,Premium,310.67,500.83,0.3797,2023-02-25,Active
100015,NVX-100015,Signature Ceramic Lamp,Novexa Essentials,2099,Bathroom,Vanity Unit,Premium,34.39,75.1,0.5421,2025-01-26,Active
100016,NVX-100016,Essential Marble Basket,Nordic Living,2212,Bathroom,Mirror,Premium,36.94,65.64,0.4372,2024-06-03,Active
100017,NVX-100017,Modern Oak Bookcase,Forma Casa,2044,Decoration,Vase,Entry,34.67,61.48,0.4361,2025-12-09,Active
100018,NVX-100018,Elegant Metal Sofa,Forma Casa,2174,Living Room,Rug,Premium,363.69,578.74,0.3716,2025-07-16,Active
100019,NVX-100019,Natural Metal Nightstand,Linea Design,2391,Bedroom,Wardrobe,Premium,470.29,799.4,0.4117,2026-12-28,Active
100020,NVX-100020,Compact Bamboo Office Desk,Linea Design,2146,Storage,Metal Rack,Entry,124.05,251.59,0.5069,2021-06-19,Active
100021,NVX-100021,Smart Marble Desk,Atelier Home,2213,Lighting,Desk Lamp,Entry,63.88,129.21,0.5056,2022-07-24,Active
100022,NVX-100022,Essential Marble Storage Cabinet,Forma Casa,2144,Living Room,Sideboard,Entry,502.99,796.6,0.3686,2021-04-09,Active
100023,NVX-100023,Contemporary Oak Office Chair,Atelier Home,2242,Storage,Cabinet,Mid-Range,115.03,196.37,0.4142,2022-12-24,Active
100024,NVX-100024,Contemporary Bamboo Sofa,Novexa Essentials,2393,Storage,Plastic Box,Mid-Range,91.89,167.8,0.4524,2026-05-13,Active
100025,NVX-100025,Comfort Glass Nightstand,Green Habitat,2200,Lighting,Table Lamp,Entry,52.0,96.41,0.4606,2023-03-26,Active
100026,NVX-100026,Compact Bamboo Wardrobe,Oak & Stone,2340,Bedroom,Dresser,Premium,256.75,436.99,0.4125,2026-07-18,Active
100027,NVX-100027,Premium Oak Coffee Table,Atelier Home,2040,Kitchen,Kitchen Shelf,Premium,29.29,55.55,0.4727,2026-03-14,Active
100028,NVX-100028,Minimalist Glass Office Chair,UrbanNest,2359,Bedroom,Chest of Drawers,Mid-Range,460.03,818.27,0.4378,2023-02-04,Active
100029,NVX-100029,Classic Marble Table,Linea Design,2289,Storage,Shelf,Mid-Range,125.18,239.94,0.4783,2021-10-05,Active
100030,NVX-100030,Essential Metal Wardrobe,Linea Design,2083,Decoration,Clock,Premium,56.99,100.29,0.4317,2025-08-29,Active
100031,NVX-100031,Nordic Oak Basket,Linea Design,2091,Garden,BBQ,Premium,44.14,91.07,0.5153,2020-05-02,Active
100032,NVX-100032,Compact Bamboo Armchair,Linea Design,2129,Bedroom,Chest of Drawers,Entry,285.6,518.88,0.4496,2022-11-09,Active
100033,NVX-100033,Compact Bamboo Drawer,Lumina,2312,Decoration,Cushion,Mid-Range,83.27,170.18,0.5107,2023-07-09,Active
100034,NVX-100034,Modern Velvet Basket,Lumina,2328,Decoration,Wall Art,Premium,88.76,155.34,0.4286,2021-12-05,Active
100035,NVX-100035,Elegant Walnut Lamp,Novexa Essentials,2378,Living Room,Corner Sofa,Entry,696.88,1121.41,0.3786,2026-07-15,Active
100036,NVX-100036,Contemporary Bamboo Armchair,Forma Casa,2175,Garden,Garden Storage,Entry,42.57,91.68,0.5357,2022-10-18,Active
100037,NVX-100037,Essential Marble Bookcase,Green Habitat,2131,Garden,Sun Lounger,Mid-Range,63.07,139.93,0.5493,2026-07-25,Active
100038,NVX-100038,Premium Pine Wardrobe,Linea Design,2147,Lighting,Pendant Light,Entry,56.1,135.18,0.585,2021-10-08,Active
100039,NVX-100039,Compact Oak Cabinet,Forma Casa,2052,Living Room,Armchair,Mid-Range,456.69,746.74,0.3884,2022-12-28,Active
100040,NVX-100040,Vintage Fabric Dining Table,Green Habitat,2182,Bedroom,Bed,Mid-Range,232.19,370.5,0.3733,2026-06-29,Active
100041,NVX-100041,Natural Marble Bookcase,Novexa Essentials,2367,Garden,Outdoor Chair,Mid-Range,85.01,179.84,0.5273,2026-09-26,Discontinued
100042,NVX-100042,Natural Ceramic Coffee Table,Oak & Stone,2284,Bedroom,Chest of Drawers,Mid-Range,375.3,599.6,0.3741,2020-09-07,Active
100043,NVX-100043,Nordic Oak Outdoor Table,UrbanNest,2315,Bedroom,Chest of Drawers,Premium,87.1,155.44,0.4397,2020-11-25,Active
100044,NVX-100044,Minimalist Glass Table,Linea Design,2296,Lighting,Desk Lamp,Mid-Range,68.6,142.87,0.5198,2026-02-07,Active
100045,NVX-100045,Urban Pine Planter,Lumina,2182,Garden,BBQ,Mid-Range,95.64,164.03,0.4169,2024-01-31,Active
100046,NVX-100046,Minimalist Steel Vanity Unit,Novexa Essentials,2390,Decoration,Clock,Mid-Range,104.69,231.03,0.5469,2020-06-27,Active
100047,NVX-100047,Compact Velvet Outdoor Table,Lumina,2137,Bedroom,Bed,Premium,99.17,172.5,0.4251,2026-07-25,Active
100048,NVX-100048,Urban Bamboo Kitchen Island,UrbanNest,2140,Kitchen,Dining Table,Entry,32.53,56.6,0.4253,2023-08-05,Discontinued
100049,NVX-100049,Signature Metal Shelf,Green Habitat,2358,Kitchen,Kitchen Island,Mid-Range,25.53,48.51,0.4737,2023-08-10,Active
100050,NVX-100050,Signature Walnut Bench,Forma Casa,2384,Living Room,Bookcase,Entry,395.83,621.55,0.3632,2023-03-23,Active
100051,NVX-100051,Nordic Glass Bed,Novexa Essentials,2332,Kitchen,Dining Table,Entry,37.05,73.26,0.4943,2024-07-21,Active
100052,NVX-100052,Classic Ceramic Floor Lamp,HomeCraft,2253,Kitchen,Kitchen Shelf,Premium,48.3,83.84,0.4239,2024-06-18,Active
100053,NVX-100053,Smart Walnut Wall Light,Atelier Home,2110,Garden,Outdoor Table,Mid-Range,96.26,181.25,0.4689,2022-02-12,Active
100054,NVX-100054,Vintage Steel Dining Table,Green Habitat,2109,Storage,Shelf,Premium,138.02,235.38,0.4136,2024-06-19,Active
100055,NVX-100055,Modern Bamboo Metal Rack,Oak & Stone,2203,Lighting,Floor Lamp,Mid-Range,47.54,108.27,0.5609,2020-09-18,Active
100056,NVX-100056,Vintage Steel Armchair,HomeCraft,2169,Lighting,Desk Lamp,Mid-Range,65.81,131.03,0.4977,2022-05-24,Active
100057,NVX-100057,Contemporary Bamboo Bookcase,Atelier Home,2003,Living Room,Sofa,Mid-Range,707.2,1131.7,0.3751,2022-07-11,Active
100058,NVX-100058,Smart Fabric Bed,Oak & Stone,2289,Storage,Plastic Box,Entry,185.12,311.81,0.4063,2023-11-27,Discontinued
100059,NVX-100059,Nordic Ceramic BBQ,Oak & Stone,2043,Kitchen,Kitchen Cabinet,Entry,50.54,103.35,0.511,2025-06-06,Active
100060,NVX-100060,Signature Ceramic Pendant Light,Novexa Essentials,2227,Garden,Outdoor Chair,Mid-Range,74.04,144.8,0.4887,2025-10-23,Active
100061,NVX-100061,Essential Walnut Outdoor Table,Oak & Stone,2057,Home Office,Bookcase,Entry,100.35,177.54,0.4348,2026-09-16,Active
100062,NVX-100062,Minimalist Steel Basket,Novexa Essentials,2170,Kitchen,Kitchen Island,Entry,37.15,68.85,0.4604,2023-11-04,Active
100063,NVX-100063,Signature Velvet Drawer,Oak & Stone,2326,Bathroom,Mirror,Mid-Range,71.17,126.65,0.4381,2020-06-11,Active
100064,NVX-100064,Elegant Glass Bar Stool,Forma Casa,2046,Bathroom,Mirror,Premium,48.67,101.5,0.5205,2026-11-05,Active
100065,NVX-100065,Comfort Steel Desk Lamp,Lumina,2391,Decoration,Mirror,Entry,114.84,196.3,0.415,2020-08-13,Active
100066,NVX-100066,Elegant Metal Storage Cabinet,Linea Design,2197,Decoration,Vase,Entry,76.54,147.35,0.4806,2024-12-29,Active
100067,NVX-100067,Nordic Fabric Planter,Novexa Essentials,2179,Kitchen,Dining Chair,Mid-Range,31.9,61.07,0.4776,2020-02-27,Active
100068,NVX-100068,Signature Oak Mirror,Linea Design,2052,Lighting,Floor Lamp,Entry,40.07,84.08,0.5234,2023-03-06,Active
100069,NVX-100069,Essential Metal BBQ,Lumina,2383,Lighting,Table Lamp,Mid-Range,44.68,94.84,0.5289,2020-04-21,Active
100070,NVX-100070,Urban Velvet Drawer,Nordic Living,2038,Lighting,Desk Lamp,Premium,49.31,120.3,0.5901,2026-02-20,Active
100071,NVX-100071,Elegant Velvet Vanity Unit,Lumina,2041,Living Room,Sofa,Entry,948.62,1432.26,0.3377,2021-11-29,Active
100072,NVX-100072,Urban Marble Floor Lamp,Lumina,2187,Kitchen,Kitchen Cabinet,Mid-Range,66.3,131.14,0.4944,2024-04-28,Active
100073,NVX-100073,Vintage Fabric Armchair,Lumina,2151,Lighting,Floor Lamp,Mid-Range,57.72,121.82,0.5262,2021-04-21,Active
100074,NVX-100074,Vintage Metal Sofa,Nordic Living,2084,Lighting,Desk Lamp,Entry,66.22,142.89,0.5366,2026-02-15,Active
100075,NVX-100075,Essential Fabric Basket,Novexa Essentials,2165,Home Office,Office Chair,Mid-Range,88.94,157.45,0.4351,2025-06-09,Active
100076,NVX-100076,Nordic Glass Wall Light,Oak & Stone,2197,Bedroom,Chest of Drawers,Mid-Range,496.28,870.47,0.4299,2024-07-06,Active
100077,NVX-100077,Nordic Metal Mirror,Nordic Living,2116,Storage,Metal Rack,Entry,214.6,474.31,0.5476,2024-08-16,Active
100078,NVX-100078,Signature Rattan Shelf,Forma Casa,2278,Home Office,Filing Cabinet,Entry,35.94,63.4,0.4331,2025-04-02,Active
100079,NVX-100079,Smart Rattan Basket,Nordic Living,2302,Living Room,Rug,Mid-Range,722.6,1035.42,0.3021,2025-08-22,Active
100080,NVX-100080,Signature Marble Outdoor Chair,Atelier Home,2367,Living Room,Corner Sofa,Entry,517.36,820.35,0.3693,2022-09-12,Discontinued
100081,NVX-100081,Comfort Fabric Nightstand,Forma Casa,2058,Home Office,Filing Cabinet,Entry,134.96,236.27,0.4288,2023-11-10,Active
100082,NVX-100082,Premium Rattan Office Desk,Atelier Home,2296,Home Office,Office Chair,Entry,51.93,115.36,0.5498,2023-04-24,Active
100083,NVX-100083,Smart Steel Outdoor Chair,Green Habitat,2269,Garden,BBQ,Entry,75.97,160.85,0.5277,2025-01-15,Active
